ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication
10020,377,0.5278148223627023,166517,28,7,0,7252,10,2,Own,High School,Divorced,1,101528.0
10021,726,0.1740462772309545,146746,43,6,15,12079,17,24,Mortgage,PhD,Widowed,14,120790.0
10022,534,0.0322561479225805,136033,46,9,1,11891,2,18,Mortgage,High School,Divorced,17,202147.0
10023,789,0.9413113410991132,25695,31,5,2,12146,1,13,Mortgage,High School,Widowed,11,267212.0
10024,749,0.1134693857247679,129106,72,9,0,16145,9,7,Rent,Masters,Divorced,2,306755.0
10025,513,0.0095497053011478,133533,55,5,8,5636,9,23,Rent,High School,Widowed,17,101448.0
10026,500,0.4396256927976116,137810,87,6,4,5257,1,2,Rent,High School,Divorced,7,89369.0
10027,807,0.3765072678471363,101350,79,3,19,8072,5,1,Mortgage,High School,Widowed,0,137224.0
10028,321,0.6173467396967849,55566,21,3,1,5321,0,14,Mortgage,Masters,Divorced,14,53210.0
10029,317,0.1175275334024498,38847,33,8,3,17436,12,12,Rent,High School,Divorced,24,87180.0
10030,306,0.4277647761460058,149304,30,6,10,14221,7,4,Rent,Masters,Divorced,16,241757.0
10031,453,0.3112843734405391,153983,43,4,15,18533,0,14,Rent,High School,Widowed,11,111198.0
10032,544,0.0881325599396851,123478,22,7,10,18077,13,11,Rent,Masters,Single,25,72308.0
10033,460,0.1590269168013699,127728,36,9,8,12360,17,4,Own,Bachelor,Widowed,14,173040.0
10034,685,0.864404421262959,148266,35,6,0,4190,2,21,Rent,Masters,Divorced,7,12570.0
10035,394,0.7074052959076863,133296,46,8,14,12180,0,8,Mortgage,Masters,Divorced,2,133980.0
10036,516,0.3143796593710414,51343,43,9,8,6820,3,5,Mortgage,Bachelor,Widowed,19,54560.0
10037,578,0.0649048512698934,78678,85,7,13,11399,5,3,Rent,Masters,Divorced,9,136788.0
10038,536,0.3218254543152953,33674,63,8,11,7175,4,1,Own,Masters,Widowed,1,129150.0
10039,593,0.3795315689111994,158350,19,8,5,7862,6,13,Mortgage,PhD,Divorced,11,133654.0
10040,812,0.0135688105747538,63420,65,4,1,6263,5,19,Rent,High School,Widowed,25,50104.0
10041,624,0.4358259711032395,151875,25,5,4,14866,3,9,Own,High School,Widowed,5,178392.0
10042,809,0.0983103893248005,160057,58,3,10,10877,1,27,Mortgage,High School,Widowed,11,108770.0
10043,355,0.0688631063049124,178046,89,6,3,4182,13,1,Mortgage,High School,Widowed,8,41820.0
10044,792,0.2520325625321646,44003,70,9,1,14187,0,28,Mortgage,Masters,Widowed,9,212805.0
10045,423,0.9096815845602916,78213,35,9,13,13046,8,13,Rent,Masters,Divorced,3,221782.0
10046,440,0.1804019010027925,65593,66,9,11,2622,10,6,Rent,High School,Widowed,0,39330.0
10047,820,0.3787255549115349,48976,30,9,5,3861,1,18,Mortgage,PhD,Widowed,20,34749.0
10048,630,0.4874379046568359,125483,19,5,4,18729,4,10,Mortgage,High School,Divorced,1,56187.0
10049,821,0.3932005069594873,103563,77,8,14,11886,9,29,Mortgage,Masters,Widowed,3,95088.0
10050,822,0.3390848763878119,126478,66,9,10,4138,0,0,Own,High School,Widowed,4,78622.0
10051,727,0.0663334168063698,61987,52,2,11,5722,17,28,Mortgage,High School,Widowed,1,28610.0
10052,675,0.693203304752534,106962,39,8,3,6011,12,8,Mortgage,High School,Widowed,26,24044.0
10053,610,0.0112062229957949,142855,70,4,18,4113,11,13,Own,High School,Widowed,5,41130.0
10054,436,0.1063746411375482,176577,79,9,0,16222,9,2,Rent,Masters,Married,22,97332.0
10055,604,0.2493933324196662,130014,20,5,15,16246,6,24,Rent,Masters,Divorced,10,243690.0
10056,570,0.0239393852759406,174522,28,2,3,17027,10,12,Rent,PhD,Widowed,18,306486.0
10057,700,0.4457468635794926,76775,86,9,1,2969,8,2,Mortgage,High School,Widowed,4,53442.0
10058,441,0.3099436059789231,105555,67,9,6,14578,16,22,Rent,Masters,Widowed,5,306138.0
10059,607,0.2027386261894344,117098,89,0,19,5035,5,13,Rent,High School,Widowed,5,30210.0
10060,671,0.2026507154537716,65616,54,7,8,9325,19,7,Mortgage,Masters,Widowed,0,74600.0
10061,759,0.4527908857701047,189172,58,4,3,6758,0,2,Mortgage,Masters,Divorced,11,101370.0
10062,653,0.0272946266038021,122999,85,1,7,12591,10,15,Rent,High School,Widowed,10,201456.0
10063,369,0.4139852776333019,118703,20,8,8,12814,7,8,Rent,High School,Widowed,13,76884.0
10064,624,0.0760750394342928,54556,33,7,12,18301,1,29,Mortgage,Masters,Divorced,14,384321.0
10065,327,0.4542572673236871,86584,51,7,17,5062,7,4,Rent,Masters,Divorced,3,80992.0
10066,809,0.92534525388761,48463,69,5,10,19041,11,9,Rent,Masters,Widowed,8,228492.0
10067,681,0.104552926978596,60918,59,2,12,11469,6,13,Rent,Masters,Widowed,6,68814.0
10068,499,0.2262730969023417,56347,25,7,1,19780,0,28,Mortgage,Bachelor,Widowed,21,178020.0
10069,620,0.4196740502182668,46089,39,3,6,6485,4,1,Own,High School,Widowed,2,136185.0
10070,579,0.3687452927356688,131497,44,9,7,10685,8,17,Own,High School,Widowed,7,106850.0
10071,767,0.9841589570473204,159146,30,9,1,18678,11,17,Mortgage,Masters,Married,14,149424.0
10072,695,0.3005582194523124,192932,27,5,0,14908,19,24,Mortgage,High School,Widowed,16,89448.0
10073,310,0.168542113732019,139368,26,6,19,13622,11,29,Own,Masters,Widowed,10,258818.0
10074,820,0.1457846007182559,96607,60,1,10,14090,16,11,Rent,Masters,Widowed,12,42270.0
10075,764,0.0724449473751327,45557,20,6,5,2640,1,7,Mortgage,Masters,Single,8,42240.0
10076,560,0.5771126589984643,132405,27,4,2,7430,5,0,Own,High School,Widowed,27,96590.0
10077,593,0.1068101195388474,164126,88,3,11,7745,0,1,Rent,Masters,Married,3,77450.0
10078,765,0.6761956901192232,56957,56,7,6,9170,6,17,Rent,High School,Widowed,0,128380.0
10079,458,0.5696963244630067,63412,71,5,16,12950,0,0,Rent,Masters,Widowed,9,142450.0
10080,753,0.1229742384958967,154919,32,9,7,18971,12,29,Own,Masters,Widowed,22,322507.0
10081,342,0.3650052651838616,48964,27,4,17,4511,2,1,Rent,High School,Widowed,19,94731.0
10082,737,0.0700189305448651,109765,31,6,16,8703,6,14,Own,Bachelor,Widowed,18,156654.0
10083,409,0.4935539167804333,57667,23,8,5,16876,16,27,Mortgage,High School,Widowed,2,84380.0
10084,447,0.1287966775074743,142539,66,4,13,14739,6,8,Own,Masters,Widowed,10,58956.0
10085,597,0.2058229960393357,147794,19,4,6,10334,2,4,Mortgage,Masters,Single,10,196346.0
10086,644,0.9269345203968204,34579,20,6,7,16639,14,18,Rent,Masters,Widowed,24,66556.0
10087,751,0.7369897641101478,119716,51,3,7,7189,1,20,Rent,Masters,Widowed,11,122213.0
10088,790,0.4386684623610668,47672,50,9,1,4756,12,27,Rent,Masters,Widowed,13,80852.0
10089,519,0.3656851984435433,90090,37,9,11,8374,9,17,Mortgage,Masters,Divorced,3,75366.0
10090,395,0.3057215620803875,36183,30,8,12,10308,1,2,Mortgage,Bachelor,Widowed,11,41232.0
10091,833,0.3043620804173397,146802,86,6,9,12801,13,4,Own,High School,Widowed,21,89607.0
10092,802,0.0913651196862406,178772,31,5,7,9169,5,7,Rent,PhD,Widowed,3,174211.0
10093,750,0.9092657413306228,198049,57,9,3,14692,15,11,Mortgage,PhD,Widowed,11,176304.0
10094,439,0.0001352521913496,49158,51,0,4,4526,16,0,Own,High School,Widowed,26,54312.0
10095,800,0.0077371322756732,181505,29,7,15,19241,2,13,Mortgage,Masters,Divorced,9,288615.0
10096,469,0.5449938238426134,46232,30,2,2,4640,4,10,Rent,High School,Widowed,13,55680.0
10097,682,0.0804576004894517,98299,54,9,19,13207,0,7,Rent,High School,Widowed,16,26414.0
10098,596,0.0394293441021752,196221,33,8,13,16521,19,7,Mortgage,Masters,Divorced,6,82605.0
10099,649,0.0793409954697024,105013,60,2,12,10028,6,23,Rent,Masters,Widowed,1,70196.0
10100,845,0.9119523857707216,53133,25,3,7,1552,12,19,Rent,Masters,Widowed,13,17072.0
10101,437,0.101686777482996,99955,20,9,9,3256,9,28,Mortgage,Masters,Widowed,7,29304.0
10102,747,0.4807162563304257,181009,43,6,16,4211,2,2,Rent,Bachelor,Widowed,13,25266.0
10103,555,0.7969321363650979,169419,41,9,15,19626,12,3,Rent,Masters,Widowed,0,333642.0
10104,383,0.0715466141129781,199461,31,7,17,14446,0,17,Mortgage,Masters,Single,3,101122.0
10105,302,0.1907004823944699,127542,47,9,0,11313,4,10,Rent,Bachelor,Widowed,1,90504.0
10106,689,0.0966659145319912,113028,33,9,14,6271,0,1,Rent,High School,Widowed,22,119149.0
10107,363,0.00546684361211,153959,64,7,7,2872,1,2,Rent,Masters,Single,14,34464.0
10108,587,0.013013503128309,67350,89,8,0,13245,9,29,Own,High School,Widowed,0,105960.0
10109,718,0.2230414153304992,142665,33,9,2,19665,17,2,Mortgage,PhD,Widowed,19,275310.0
10110,630,0.0338955165106389,49487,54,3,0,19612,15,29,Rent,Masters,Widowed,7,274568.0
10111,786,0.2304503087086702,82613,42,3,11,4188,6,15,Mortgage,High School,Widowed,24,37692.0
10112,639,0.5928281823912299,87097,54,9,7,18730,6,10,Rent,Bachelor,Widowed,0,412060.0
10113,370,0.8573280642013115,158236,54,4,9,12911,9,1,Rent,Masters,Widowed,18,180754.0
10114,553,0.1531695547329973,111310,81,9,7,9176,17,18,Mortgage,High School,Widowed,8,165168.0
10115,677,0.118382153103099,62601,36,6,18,15568,9,24,Own,Masters,Widowed,0,233520.0
10116,766,0.4339080459740175,193525,61,1,13,14582,3,4,Rent,Bachelor,Widowed,3,247894.0
10117,724,0.9615800615908692,195770,29,8,0,11221,12,5,Mortgage,High School,Divorced,3,89768.0
10118,805,0.1571586696846539,84928,85,7,18,12724,6,10,Rent,Masters,Divorced,14,229032.0
10119,675,0.2382677424069076,53358,28,7,16,11718,2,23,Mortgage,High School,Widowed,13,70308.0
10120,362,0.0788234191055301,106913,43,6,4,11778,19,24,Mortgage,High School,Divorced,17,212004.0
10121,468,0.2000709954699414,87080,48,3,8,17949,5,23,Rent,High School,Widowed,4,161541.0
10122,640,0.2581598356688017,176939,72,6,7,12423,13,11,Mortgage,Masters,Widowed,12,173922.0
10123,586,0.7724810279414502,164692,54,5,0,14579,17,5,Rent,Masters,Widowed,1,72895.0
10124,644,0.0404348686515833,25711,43,8,13,2390,8,9,Rent,High School,Widowed,4,35850.0
10125,505,0.1584225920479093,141871,20,2,4,7491,2,10,Mortgage,Masters,Widowed,1,37455.0
10126,525,0.1034746010377488,36813,37,9,6,1791,9,20,Mortgage,Masters,Divorced,18,30447.0
10127,715,0.0443879075920414,47361,47,0,15,4989,5,6,Rent,High School,Widowed,17,99780.0
10128,592,0.0231491547641233,181910,63,5,14,7617,17,4,Rent,PhD,Widowed,22,45702.0
10129,450,0.296537626719073,182430,50,5,10,16261,15,18,Mortgage,High School,Divorced,0,276437.0
10130,447,0.2512252359050928,98473,26,3,4,13757,7,4,Own,Masters,Widowed,5,178841.0
10131,679,0.0510392344144378,129814,66,3,2,18920,19,12,Mortgage,Masters,Widowed,7,75680.0
10132,657,0.6724497697981313,193292,48,8,13,12113,9,1,Rent,Masters,Widowed,18,254373.0
10133,679,0.072270822793918,120217,67,2,7,16860,0,4,Own,Masters,Widowed,3,185460.0
10134,687,0.3584377784027343,162807,18,5,5,7599,12,18,Rent,High School,Widowed,8,144381.0
10135,514,0.4074474012817198,101149,87,2,4,7366,10,0,Rent,Masters,Widowed,18,58928.0
10136,395,0.2962248670284728,150464,20,9,14,1502,1,0,Mortgage,Masters,Single,1,9012.0
10137,404,0.54658268897434,129814,23,9,7,2756,3,9,Mortgage,Masters,Widowed,6,33072.0
10138,512,0.6588003202214213,110866,21,7,4,13093,8,27,Rent,High School,Widowed,6,209488.0
10139,487,0.0229432921798831,174632,18,3,12,6493,3,17,Mortgage,Masters,Widowed,23,45451.0
10140,651,0.0028473380773569,126191,23,1,9,4929,9,4,Rent,Bachelor,Widowed,17,9858.0
10141,810,0.8086970651067672,119374,20,9,2,17712,16,27,Rent,High School,Widowed,23,301104.0
10142,631,0.4608265633376861,97278,83,7,15,9849,3,3,Mortgage,Masters,Widowed,3,68943.0
10143,411,0.1383585991779318,136571,40,8,2,9397,8,16,Mortgage,Masters,Widowed,5,187940.0
10144,813,0.7461235327064653,142640,44,8,14,16233,8,2,Rent,Bachelor,Widowed,21,340893.0
10145,494,0.0844598721095752,146507,40,6,11,18899,3,7,Rent,Masters,Single,29,226788.0
10146,756,0.1174543903596171,164191,36,1,12,11592,9,20,Mortgage,Masters,Widowed,10,150696.0
10147,753,0.1635030062021988,192343,44,0,2,6009,4,19,Own,High School,Widowed,24,96144.0
10148,715,0.3698050016827771,192138,52,7,4,17162,5,13,Rent,Bachelor,Widowed,21,291754.0
10149,360,0.5646101440257894,147670,65,3,6,4515,6,0,Rent,High School,Widowed,0,27090.0
10150,360,0.8073829690487893,127298,26,6,1,14414,11,7,Rent,Masters,Married,5,187382.0
10151,831,0.6286036990276237,187831,84,4,11,15097,14,10,Rent,Bachelor,Widowed,12,211358.0
10152,371,0.0239515638528958,192378,47,7,13,9995,6,24,Rent,Masters,Divorced,3,59970.0
10153,607,0.0462426615814687,35180,38,1,13,5987,9,9,Rent,PhD,Widowed,27,125727.0
10154,709,0.8102256872524756,155533,24,6,13,7982,18,7,Rent,High School,Widowed,9,47892.0
10155,572,0.2577981836974148,147615,69,3,9,7563,16,0,Mortgage,High School,Widowed,5,83193.0
10156,688,0.151997321678352,189457,20,1,5,2523,4,6,Rent,Masters,Widowed,15,5046.0
10157,748,0.4259072557436287,136424,27,2,18,10196,3,14,Rent,High School,Widowed,7,193724.0
10158,497,0.1545799995199004,123035,70,6,0,15743,16,0,Own,High School,Widowed,22,330603.0
10159,473,0.0618212724908584,121031,86,2,12,3940,8,17,Rent,PhD,Widowed,25,82740.0
10160,711,0.9900958460068526,90685,41,6,2,16052,10,20,Mortgage,Masters,Widowed,18,353144.0
10161,814,0.3521964793472579,107569,85,9,12,8123,9,1,Mortgage,PhD,Widowed,1,73107.0
10162,650,0.5713359223208767,30875,39,6,6,17239,16,11,Rent,Masters,Widowed,28,155151.0
10163,716,0.0583208721253963,45827,66,7,5,3063,6,18,Mortgage,Masters,Widowed,9,30630.0
10164,528,0.5293203502780279,140418,18,8,2,15170,14,10,Mortgage,Masters,Widowed,7,75850.0
10165,823,0.1355284118545254,102880,19,7,1,16293,13,4,Mortgage,Masters,Married,4,179223.0
10166,721,0.1625430803759918,112352,86,9,13,5172,19,12,Rent,Masters,Widowed,13,25860.0
10167,619,0.184258016316259,160377,46,7,13,5510,14,0,Mortgage,PhD,Widowed,21,44080.0
10168,772,0.5731746099589573,197815,40,5,17,7415,2,5,Mortgage,Masters,Divorced,2,126055.0
10169,819,0.4474301088317997,97537,87,6,0,18339,5,5,Rent,PhD,Widowed,2,183390.0
10170,795,0.1277634655010125,92089,77,5,12,2408,5,2,Mortgage,High School,Widowed,5,43344.0
10171,476,0.1175787281226002,48644,85,8,14,6248,18,11,Rent,Masters,Widowed,28,62480.0
10172,593,0.6870703232691371,131742,50,9,3,13602,5,2,Mortgage,Bachelor,Divorced,3,108816.0
10173,711,0.6408934514424448,58609,39,9,12,2275,15,0,Mortgage,Masters,Widowed,3,40950.0
10174,434,0.1759786551346307,44099,29,9,16,4237,11,1,Rent,Masters,Divorced,12,33896.0
10175,341,0.6217287961680735,71256,20,5,12,13144,8,11,Rent,Masters,Widowed,11,52576.0
10176,450,0.4555702830204406,151767,51,7,8,17884,0,16,Mortgage,Masters,Widowed,23,250376.0
10177,661,0.7779421178978929,116010,39,2,10,17074,7,1,Rent,Masters,Widowed,25,341480.0
10178,394,0.2831273866778494,70172,23,7,12,17200,3,11,Rent,Masters,Divorced,14,275200.0
10179,634,0.20779749989589,154437,49,7,3,12546,11,1,Mortgage,High School,Widowed,5,100368.0
10180,736,0.1439651815228666,131655,51,7,4,14688,18,16,Own,High School,Widowed,18,102816.0
10181,693,0.7294703675380584,120163,33,7,18,13456,14,5,Rent,Masters,Widowed,7,282576.0
10182,519,0.2089682506967494,147145,70,4,5,10404,6,5,Mortgage,High School,Widowed,28,93636.0
10183,737,0.2113257559298536,124178,34,7,3,5617,15,3,Own,Masters,Single,4,101106.0
10184,471,0.297939523416009,156132,75,7,0,19199,6,7,Rent,Masters,Widowed,9,95995.0
10185,760,0.3217756745643169,173914,33,6,1,8116,6,20,Mortgage,High School,Married,3,89276.0
10186,592,0.5903918051422958,174126,58,5,2,3106,0,5,Rent,High School,Widowed,29,27954.0
10187,334,0.5785175541366961,90593,33,9,7,19658,11,16,Mortgage,High School,Divorced,1,393160.0
10188,796,0.6159973541892168,135842,76,8,5,14570,0,0,Rent,Masters,Widowed,2,131130.0
10189,786,0.6958342706566649,52964,71,8,0,12191,0,3,Mortgage,Bachelor,Widowed,12,134101.0
10190,760,0.8649827758893479,119239,57,7,3,1904,15,24,Mortgage,High School,Widowed,14,24752.0
10191,788,0.7623816209011908,152750,79,3,4,14005,4,22,Rent,High School,Widowed,3,252090.0
10192,564,0.1532577727424211,168856,63,7,17,14852,0,21,Rent,Bachelor,Widowed,1,207928.0
10193,622,0.1733197371964518,111795,40,3,13,16768,18,3,Own,High School,Widowed,7,335360.0
10194,416,0.3605937521902492,123020,35,8,8,1902,16,24,Mortgage,Masters,Divorced,0,13314.0
10195,508,0.1305910340607129,133855,64,5,6,17133,3,20,Mortgage,High School,Divorced,5,359793.0
10196,728,0.5565254453360942,154676,46,5,8,2861,0,5,Rent,Masters,Single,0,54359.0
10197,746,0.3536187516906793,190659,48,1,4,2587,1,11,Rent,PhD,Widowed,20,38805.0
10198,649,0.0595246310253291,58445,40,5,4,13099,8,15,Rent,Masters,Widowed,19,78594.0
10199,705,0.0168975655776311,102048,23,4,17,5393,4,24,Mortgage,Bachelor,Widowed,2,26965.0
10200,740,0.0467685176867961,141130,42,6,14,18933,0,5,Mortgage,Masters,Single,22,170397.0
10201,752,0.2404791160931102,160053,65,5,18,17595,10,2,Mortgage,High School,Widowed,13,351900.0
10202,376,0.1490869420817322,115618,72,9,2,5550,5,8,Rent,Masters,Widowed,9,77700.0
10203,843,0.1835905515897345,187047,28,0,5,11746,0,11,Mortgage,High School,Widowed,9,105714.0
10204,745,0.0494042141558158,98822,23,1,3,4088,8,0,Mortgage,Masters,Divorced,2,81760.0
10205,775,0.2383484227222302,190759,79,5,10,13717,15,19,Rent,High School,Widowed,24,68585.0
10206,743,0.040181944387686,58976,75,1,8,9961,18,3,Rent,Masters,Widowed,0,199220.0
10207,427,0.7302881052912785,170656,24,8,6,19758,2,0,Mortgage,Masters,Widowed,10,355644.0
10208,698,0.871234973791143,145527,39,9,17,7116,9,0,Mortgage,Masters,Widowed,9,92508.0
10209,539,0.0748321606731531,198003,52,2,7,16458,7,26,Rent,High School,Widowed,17,213954.0
10210,469,0.1013655812020063,146462,24,1,4,10328,8,1,Own,High School,Widowed,8,41312.0
10211,644,0.8336198521287846,153423,19,5,5,18795,11,3,Own,Bachelor,Widowed,2,319515.0
10212,729,0.0197290388920994,190188,20,2,2,8277,4,25,Rent,Bachelor,Widowed,1,140709.0
10213,304,0.3168016655489973,133478,33,5,0,18932,12,10,Rent,Masters,Widowed,17,132524.0
10214,599,0.0200965318117612,103378,56,7,6,16593,2,8,Rent,Masters,Widowed,21,232302.0
10215,335,0.3217742275369692,55202,47,7,10,8546,13,1,Own,Masters,Widowed,26,25638.0
10216,334,0.124052567483076,74097,30,1,7,3503,13,1,Mortgage,Masters,Widowed,25,49042.0
10217,436,0.1557390515531751,161835,58,4,5,14847,11,10,Rent,Masters,Widowed,15,326634.0
10218,606,0.3401899398898085,52429,18,5,14,7747,5,23,Mortgage,Masters,Widowed,24,92964.0
10219,651,0.7589173919333791,174830,34,1,13,7449,16,3,Rent,Masters,Widowed,12,89388.0
10220,754,0.5791047931272553,49710,30,5,18,11591,4,0,Rent,High School,Widowed,26,162274.0
10221,790,0.6130854293459328,189700,22,8,0,19802,14,4,Own,High School,Divorced,17,336634.0
10222,605,0.7679188530318832,83875,30,7,5,19966,9,16,Mortgage,Masters,Divorced,14,119796.0
10223,602,0.086176938949656,40201,62,2,4,10461,14,17,Rent,PhD,Widowed,26,177837.0
10224,688,0.5854493305971693,163194,77,7,13,17797,0,16,Rent,Masters,Divorced,12,177970.0
10225,464,0.3140672498628394,67121,32,6,2,19996,7,6,Own,High School,Widowed,0,59988.0
10226,573,0.0523907134679125,154458,87,7,8,15797,13,19,Rent,High School,Widowed,22,347534.0
10227,812,0.134163542879926,178430,58,1,15,11114,12,1,Rent,Masters,Married,19,188938.0
10228,450,0.2887101010016728,62751,37,7,16,14499,3,5,Rent,Masters,Divorced,10,188487.0
10229,620,0.2432719596508283,93652,41,7,8,16840,8,0,Own,Masters,Widowed,25,303120.0
10230,848,0.4981480110910429,79906,49,9,12,11115,0,13,Mortgage,High School,Widowed,19,166725.0
10231,389,0.0055430554174351,109989,29,1,7,11823,0,6,Rent,PhD,Widowed,11,94584.0
10232,687,0.0100537815322148,45731,83,9,8,9980,6,15,Mortgage,High School,Divorced,17,219560.0
10233,723,0.0338657160043183,135677,26,7,15,17032,5,9,Rent,Masters,Single,5,102192.0
10234,549,0.2242372511827679,46160,39,1,7,16155,17,28,Rent,High School,Widowed,0,306945.0
10235,618,0.3062890566535652,119727,22,7,3,11377,16,1,Own,Masters,Divorced,7,136524.0
10236,428,0.0057328711865133,36428,26,9,1,18769,6,16,Mortgage,PhD,Widowed,4,225228.0
10237,600,0.5470288090504996,137391,30,7,5,15567,3,5,Mortgage,PhD,Widowed,15,124536.0
10238,794,0.3963312984953296,54659,63,4,11,4939,15,4,Rent,Masters,Widowed,0,103719.0
10239,699,0.0293933802581365,166213,58,4,10,5207,6,27,Mortgage,Masters,Widowed,10,15621.0
10240,586,0.2852236814345428,124812,20,4,6,6719,5,11,Rent,Masters,Divorced,9,60471.0
10241,847,0.2422963109980096,180024,62,7,0,18804,18,20,Mortgage,Bachelor,Widowed,12,319668.0
10242,497,0.2985188036367109,25837,21,3,15,8395,17,2,Own,High School,Widowed,15,50370.0
10243,621,0.2853733611432638,59583,54,4,13,2431,2,27,Rent,High School,Widowed,27,7293.0
10244,584,0.5705493818963653,52351,28,8,0,5656,19,4,Rent,Masters,Widowed,17,79184.0
10245,663,0.415327659119812,97153,70,9,5,8073,1,4,Mortgage,High School,Widowed,1,88803.0
10246,837,0.477704897053835,173255,32,5,6,12952,12,0,Own,Masters,Single,24,168376.0
10247,400,0.1448341194504039,183026,22,6,0,3565,0,10,Rent,High School,Single,2,10695.0
10248,734,0.1090103980199349,133521,39,7,17,11012,9,8,Own,Bachelor,Widowed,12,198216.0
10249,359,0.1844125486708624,76640,51,7,7,1232,5,10,Rent,Bachelor,Widowed,12,14784.0
10250,423,0.5212078717097506,125817,43,8,5,1417,3,11,Rent,Masters,Divorced,8,31174.0
10251,771,0.2675236157267554,28658,32,6,0,2247,0,4,Mortgage,Bachelor,Widowed,13,17976.0
10252,706,0.0782982656992204,176352,37,9,9,7267,6,6,Rent,Masters,Widowed,12,101738.0
10253,583,0.0528437273935195,156845,66,8,17,15116,2,23,Mortgage,High School,Divorced,21,151160.0
10254,485,0.0369355776731783,153860,24,4,4,16247,15,13,Rent,Masters,Single,3,341187.0
10255,431,0.4193409869019321,194172,19,5,8,14735,12,3,Mortgage,Masters,Single,7,73675.0
10256,824,0.1824631171091156,28144,18,6,2,6485,15,14,Mortgage,Masters,Widowed,27,136185.0
10257,785,0.0764755925927231,106513,28,8,4,4999,2,10,Rent,High School,Divorced,2,74985.0
10258,698,0.1399919925844149,79238,56,2,6,9158,8,8,Rent,Masters,Divorced,3,201476.0
10259,532,0.1210756219265292,157747,60,1,11,9747,16,14,Rent,Masters,Widowed,18,58482.0
10260,306,0.034708346800464,23143,35,9,1,17207,9,2,Mortgage,Masters,Single,24,258105.0
10261,686,0.2899902964134593,48129,33,4,14,14949,10,13,Mortgage,Masters,Widowed,14,209286.0
10262,779,0.5002292854773249,162227,54,4,1,2649,3,13,Rent,PhD,Widowed,26,37086.0
10263,325,0.4629941240225709,88452,35,2,19,10708,9,6,Rent,Masters,Widowed,19,128496.0
10264,790,0.9509191792383628,111013,36,6,4,19100,1,6,Rent,Masters,Widowed,29,191000.0
10265,554,0.5223320998743571,62723,26,7,11,19378,15,8,Rent,Masters,Widowed,25,116268.0
10266,629,0.1842307187695989,146446,79,3,1,12850,2,3,Rent,Bachelor,Widowed,10,218450.0
10267,602,0.0363398469553477,73493,30,9,9,9299,5,26,Mortgage,High School,Divorced,23,158083.0
10268,668,0.6065325507608454,189931,42,9,12,16179,9,4,Mortgage,Masters,Single,9,275043.0
10269,462,0.0052166483844642,105162,49,4,1,8531,17,7,Mortgage,High School,Divorced,12,145027.0
10270,467,0.2467323446416398,103150,86,2,16,12440,1,17,Rent,High School,Widowed,7,74640.0
10271,305,0.2155879584241495,195534,41,6,1,17979,9,9,Mortgage,Masters,Single,3,323622.0
10272,681,0.4068287311586744,192405,66,6,4,16605,18,9,Rent,Masters,Widowed,29,332100.0
10273,645,0.1793771367777925,180025,87,3,8,2598,7,0,Rent,High School,Single,2,20784.0
10274,422,0.1634206407947178,169317,76,3,2,5447,9,6,Rent,High School,Divorced,4,49023.0
