employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,jobinvolvement,performancerating,surveydate,attrition,retirementdate,retirementtype,resignationreason,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,infodate
39,3.0,3.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-04-29 00:00:00,Resignation,Stress,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,2016-12-31 00:00:00
60,3.0,2.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-12-15 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,2015-12-31 00:00:00
60,3.0,2.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-12-15 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,2016-12-31 00:00:00
60,3.0,2.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-12-15 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,2015-12-31 00:00:00
60,3.0,2.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-12-15 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,2016-12-31 00:00:00
66,1.0,4.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-01-18 00:00:00,Resignation,Salary,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2015-12-31 00:00:00
66,1.0,4.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-01-18 00:00:00,Resignation,Salary,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2016-12-31 00:00:00
66,1.0,4.0,2.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-01-18 00:00:00,Resignation,Salary,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2015-12-31 00:00:00
66,1.0,4.0,2.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-01-18 00:00:00,Resignation,Salary,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2016-12-31 00:00:00
70,4.0,3.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-08-23 00:00:00,Fired,Activo,39,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,2015-12-31 00:00:00
70,4.0,3.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-08-23 00:00:00,Fired,Activo,39,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,2016-12-31 00:00:00
70,4.0,3.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-08-23 00:00:00,Fired,Activo,39,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,2015-12-31 00:00:00
70,4.0,3.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-08-23 00:00:00,Fired,Activo,39,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,2016-12-31 00:00:00
79,2.0,1.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-02-17 00:00:00,Resignation,Salary,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,2015-12-31 00:00:00
79,2.0,1.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-02-17 00:00:00,Resignation,Salary,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,2016-12-31 00:00:00
79,2.0,1.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-02-17 00:00:00,Resignation,Salary,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,2015-12-31 00:00:00
79,2.0,1.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-02-17 00:00:00,Resignation,Salary,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,2016-12-31 00:00:00
100,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-23 00:00:00,Resignation,Others,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2015-12-31 00:00:00
100,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-23 00:00:00,Resignation,Others,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2016-12-31 00:00:00
100,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-23 00:00:00,Resignation,Others,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2015-12-31 00:00:00
100,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-23 00:00:00,Resignation,Others,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2016-12-31 00:00:00
106,4.0,3.0,3.0,2015-12-31 00:00:00,1,4,2015-12-31 00:00:00,Yes,2016-04-07 00:00:00,Resignation,Salary,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,2015-12-31 00:00:00
106,4.0,3.0,3.0,2015-12-31 00:00:00,1,4,2015-12-31 00:00:00,Yes,2016-04-07 00:00:00,Resignation,Salary,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,2016-12-31 00:00:00
106,4.0,3.0,3.0,2015-12-31 00:00:00,1,4,2016-12-31 00:00:00,Yes,2016-04-07 00:00:00,Resignation,Salary,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,2015-12-31 00:00:00
106,4.0,3.0,3.0,2015-12-31 00:00:00,1,4,2016-12-31 00:00:00,Yes,2016-04-07 00:00:00,Resignation,Salary,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,2016-12-31 00:00:00
109,1.0,2.0,3.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-10-08 00:00:00,Resignation,Others,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,2015-12-31 00:00:00
109,1.0,2.0,3.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-10-08 00:00:00,Resignation,Others,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,2016-12-31 00:00:00
109,1.0,2.0,3.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-10-08 00:00:00,Resignation,Others,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,2015-12-31 00:00:00
109,1.0,2.0,3.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-10-08 00:00:00,Resignation,Others,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,2016-12-31 00:00:00
111,3.0,3.0,3.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-08-12 00:00:00,Resignation,Stress,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,2015-12-31 00:00:00
111,3.0,3.0,3.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-08-12 00:00:00,Resignation,Stress,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,2016-12-31 00:00:00
111,3.0,3.0,3.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-08-12 00:00:00,Resignation,Stress,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,2015-12-31 00:00:00
111,3.0,3.0,3.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-08-12 00:00:00,Resignation,Stress,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,2016-12-31 00:00:00
113,3.0,2.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-10-14 00:00:00,Resignation,Others,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,2015-12-31 00:00:00
113,3.0,2.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-10-14 00:00:00,Resignation,Others,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,2016-12-31 00:00:00
113,3.0,2.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-10-14 00:00:00,Resignation,Others,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,2015-12-31 00:00:00
113,3.0,2.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-10-14 00:00:00,Resignation,Others,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,2016-12-31 00:00:00
121,1.0,4.0,2.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-07-26 00:00:00,Fired,Activo,34,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,2015-12-31 00:00:00
121,1.0,4.0,2.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-07-26 00:00:00,Fired,Activo,34,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,2016-12-31 00:00:00
121,1.0,4.0,2.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-07-26 00:00:00,Fired,Activo,34,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,2015-12-31 00:00:00
121,1.0,4.0,2.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-07-26 00:00:00,Fired,Activo,34,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,2016-12-31 00:00:00
125,3.0,3.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Stress,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,2015-12-31 00:00:00
125,3.0,3.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Stress,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,2016-12-31 00:00:00
125,3.0,3.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Stress,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,2015-12-31 00:00:00
125,3.0,3.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Stress,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,2016-12-31 00:00:00
128,3.0,4.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Others,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,2015-12-31 00:00:00
128,3.0,4.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Others,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,2016-12-31 00:00:00
128,3.0,4.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Others,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,2015-12-31 00:00:00
128,3.0,4.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Others,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,2016-12-31 00:00:00
148,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-01-10 00:00:00,Resignation,Salary,25,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2015-12-31 00:00:00
148,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-01-10 00:00:00,Resignation,Salary,25,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2016-12-31 00:00:00
148,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-01-10 00:00:00,Resignation,Salary,25,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2015-12-31 00:00:00
148,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-01-10 00:00:00,Resignation,Salary,25,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5.0,13,0,6.0,3,2,0,2016-12-31 00:00:00
157,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-29 00:00:00,Resignation,Others,24,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1.0,17,1,6.0,0,5,1,2015-12-31 00:00:00
157,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-29 00:00:00,Resignation,Others,24,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1.0,17,1,6.0,0,5,1,2016-12-31 00:00:00
157,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-29 00:00:00,Resignation,Others,24,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1.0,17,1,6.0,0,5,1,2015-12-31 00:00:00
157,1.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-29 00:00:00,Resignation,Others,24,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1.0,17,1,6.0,0,5,1,2016-12-31 00:00:00
158,4.0,3.0,2.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-03-25 00:00:00,Resignation,Others,34,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0.0,20,1,3.0,3,2,1,2015-12-31 00:00:00
158,4.0,3.0,2.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-03-25 00:00:00,Resignation,Others,34,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0.0,20,1,3.0,3,2,1,2016-12-31 00:00:00
158,4.0,3.0,2.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-03-25 00:00:00,Resignation,Others,34,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0.0,20,1,3.0,3,2,1,2015-12-31 00:00:00
158,4.0,3.0,2.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-03-25 00:00:00,Resignation,Others,34,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0.0,20,1,3.0,3,2,1,2016-12-31 00:00:00
164,3.0,2.0,4.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-06-30 00:00:00,Resignation,Others,29,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,17900,5.0,16,1,6.0,4,2,1,2015-12-31 00:00:00
164,3.0,2.0,4.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-06-30 00:00:00,Resignation,Others,29,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,17900,5.0,16,1,6.0,4,2,1,2016-12-31 00:00:00
164,3.0,2.0,4.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-06-30 00:00:00,Resignation,Others,29,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,17900,5.0,16,1,6.0,4,2,1,2015-12-31 00:00:00
164,3.0,2.0,4.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-06-30 00:00:00,Resignation,Others,29,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,17900,5.0,16,1,6.0,4,2,1,2016-12-31 00:00:00
165,1.0,4.0,4.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-11-16 00:00:00,Fired,Activo,19,Travel_Rarely,Research & Development,4,3,Medical,Male,1,Sales Executive,Single,76440,1.0,15,2,1.0,2,1,0,2015-12-31 00:00:00
165,1.0,4.0,4.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-11-16 00:00:00,Fired,Activo,19,Travel_Rarely,Research & Development,4,3,Medical,Male,1,Sales Executive,Single,76440,1.0,15,2,1.0,2,1,0,2016-12-31 00:00:00
